BatchID,Angle,Action,Processed_Longitude,Processed_Latitude,Processed_Elevation,Is_Original
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,0.9836065573770492,8279c87e717beb2d0437163be8bffb018d72370c1c4348533263d28cc23383c9,-45545.59174220706,14196.76711802726,-15044.789798173122,true
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,1.2295081967213115,,-45393.73567134142,13833.75550362491,-15010.057957195677,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,1.4754098360655736,,-45242.77754483768,13470.618013645231,-14972.439256882295,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,1.721311475409836,,-45087.78623890714,13107.759198105778,-14949.24034891557,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,1.9672131147540983,8279c87e717beb2d0437163be8bffb018d72370c1c4348533263d28cc23383c9,-44930.13064103457,12745.06456576346,-14935.653625675477,true
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,2.2131147540983607,,-43840.45127182081,12752.869439589325,-14996.167813921347,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,2.459016393442623,,-42785.264265570324,12757.758307028154,-14935.356509192847,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,2.7049180327868854,,-41829.3998193962,12754.44749171962,-14526.36039727088,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,2.9508196721311477,8279c87e717beb2d0437163be8bffb018d72370c1c4348533263d28cc23383c9,-40856.86673326511,12752.407373100345,-14175.855461537838,true
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,3.19672131147541,,-39886.329394647386,13278.89473259414,-13753.076488143764,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,3.442622950819672,,-38870.676659150515,13809.597715963348,-13488.729316161945,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,3.6885245901639343,,-37892.63085760642,14337.743411016214,-13093.48338625487,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,3.9344262295081966,8279c87e717beb2d0437163be8bffb018d72370c1c4348533263d28cc23383c9,-36915.09897102136,14866.365107321122,-12697.107318824157,true
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,4.1803278688524586,,-35200.23362168227,14469.576329880074,-12348.303454881534,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,4.426229508196721,,-33478.613552266965,14072.316532296274,-12023.06493092049,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,4.672131147540984,,-31880.782658869633,13663.923166893626,-11266.887899646536,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,4.918032786885246,8279c87e717beb2d0437163be8bffb018d72370c1c4348533263d28cc23383c9,-30235.239934050478,13258.457121763087,-10677.496018222533,true
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,5.163934426229508,,-30728.25033876719,12267.577497143677,-10797.586083694361,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,5.409836065573771,,-31329.244191855425,11268.647818820667,-10543.848016070202,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,5.6557377049180335,,-31827.216364794876,10278.660235428484,-10650.369226720184,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,5.901639344262295,8279c87e717beb2d0437163be8bffb018d72370c1c4348533263d28cc23383c9,-32310.56919033383,9290.44898691302,-10809.686553635634,true
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,6.147540983606557,,-32484.337773147272,8940.143480252358,-10957.046065106057,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,6.39344262295082,,-32660.943692411063,8589.69105771056,-11094.789765605703,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,6.639344262295083,,-32909.912736439845,8233.6293217153,-10980.760011970066,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,6.885245901639345,8279c87e717beb2d0437163be8bffb018d72370c1c4348533263d28cc23383c9,-33150.94269727403,7878.295329775836,-10894.585847898386,true
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,7.131147540983607,,-34668.25487082219,7301.181712303252,-11665.503386250697,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,7.3770491803278695,,-36166.7583130307,6726.34291731019,-12503.302898436785,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,7.622950819672131,,-37852.56592304772,6137.766515591007,-12688.080198663287,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,7.868852459016393,8279c87e717beb2d0437163be8bffb018d72370c1c4348533263d28cc23383c9,-39565.469635142945,5547.99182601698,-12778.169751524925,true
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,8.114754098360656,,-38221.902415576624,5493.316185176198,-12313.886066528969,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,8.360655737704917,,-36887.25930543523,5437.710915236385,-11818.555333068594,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,8.60655737704918,,-35469.81779949367,5388.24873239189,-11612.218109918758,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,8.852459016393443,8279c87e717beb2d0437163be8bffb018d72370c1c4348533263d28cc23383c9,-34131.78319203947,5332.41848969803,-11128.787902636454,true
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,9.098360655737705,,-32831.05802763649,5173.73810475599,-11020.154614663683,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,9.344262295081968,,-31568.694184956374,5011.738361103926,-10777.688335652463,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,9.59016393442623,,-30497.56562894769,4834.733476482099,-9870.068006306887,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,9.836065573770492,8279c87e717beb2d0437163be8bffb018d72370c1c4348533263d28cc23383c9,-29298.172292553587,4667.219059637369,-9409.034904376604,true
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,10.081967213114755,,-28459.843417242402,4405.5191701366275,-9172.428427383304,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,10.327868852459016,,-27580.06956288684,4146.669822554191,-9079.819701233879,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,10.573770491803277,,-26734.104829475982,3884.9400172935857,-8869.889017228968,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,10.81967213114754,8279c87e717beb2d0437163be8bffb018d72370c1c4348533263d28cc23383c9,-25941.665779053466,3618.856631755567,-8474.444770935923,true
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,11.065573770491802,,-24785.08597735921,3239.9780995857145,-8245.87539241556,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,11.311475409836065,,-23699.06127108098,2855.205997732817,-7773.123273876496,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,11.557377049180328,,-22549.115046594758,2474.6648520157323,-7522.062294009142,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,11.80327868852459,8279c87e717beb2d0437163be8bffb018d72370c1c4348533263d28cc23383c9,-21465.65681724227,2088.5742759910354,-7041.252810066566,true
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,12.049180327868854,,-20122.704430046026,1627.7137501591642,-6878.219648496248,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,12.295081967213115,,-18882.490174013423,1158.428547329444,-6360.549691931345,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,12.540983606557376,,-17505.87124540005,698.4311984592787,-6314.134439541027,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,12.786885245901638,8279c87e717beb2d0437163be8bffb018d72370c1c4348533263d28cc23383c9,-16349.911158908624,221.4042808979575,-5506.942131174728,true
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,13.032786885245901,,-14196.682189987972,304.58959504417726,-4708.302650698461,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,13.278688524590164,,-11887.141240421217,399.04533357164473,-4447.469937999733,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,13.524590163934427,,-9789.181186723989,477.81619729871454,-3459.117093624547,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,13.77049180327869,8279c87e717beb2d0437163be8bffb018d72370c1c4348533263d28cc23383c9,-7606.316103846999,562.6238737809472,-2762.7872930113226,true
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,14.016393442622952,,-5629.743199730292,428.325418281398,-2328.4879732476547,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,14.262295081967213,,-3746.95993457688,286.5821276426432,-1573.0435170419514,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,14.508196721311474,,-1902.9484122784343,141.43804421524692,-685.5722126103938,false
19c0f805-3367-4a88-87e1-f1d7a7a6aaee,14.754098360655737,8279c87e717beb2d0437163be8bffb018d72370c1c4348533263d28cc23383c9,0,0,0,true
